sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.1223;2.1931;10.7083;-1.5369;3.1082;9.1732;3.1144;-0.3826;-0.9816;-1.5947;0.7256;-2.4254;9355.0;28.39;-39.61;-21.27;228.88;-29.29;-2.51;5.0;1009.86;45.736;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 0;59;2020-09-25 14:50:58:031
1.8147;5.8713;6.6635;-1.7698;2.4987;9.3164;-2.0413;-2.3732;-0.9605;0.487;-1.0901;0.2707;22657.0;36.49;-21.34;-26.59;248.68;-14.76;10.76;5.0;1009.85;52.669;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;559;2020-09-25 14:50:58:531
4.2461;1.2636;5.34;3.9389;-0.5845;8.9618;0.1594;-3.2653;-1.5559;0.8597;-2.3961;1.5541;65535.0;8.18;-6.43;-49.62;241.22;5.73;-13.41;5.0;1009.85;54.439;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;1060;2020-09-25 14:50:59:032
8.0321;4.8005;3.7422;8.9033;2.9737;2.8389;-0.8014;-4.2519;3.6065;-0.1189;0.7129;1.6614;43541.0;-15.69;-16.37;-45.99;260.69;-17.65;-72.31;5.0;1009.85;56.519;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;1559;2020-09-25 14:50:59:531
4.3275;1.3307;7.5043;4.0862;1.1144;8.8449;-0.0073;-0.1118;-0.318;-0.0781;0.474;-0.163;33228.0;17.71;-16.49;-42.99;250.46;-5.12;-32.27;5.0;1009.85;51.303;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;2059;2020-09-25 14:51:00:031
8.219;-2.4506;4.6142;9.1486;-0.1486;3.5288;-0.225;-1.6441;2.5342;-1.3565;-2.4818;0.0469;52036.0;-16.63;5.57;-38.54;297.57;-5.28;-48.91;5.0;1009.84;48.309;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;2559;2020-09-25 14:51:00:531
10.7845;-3.3884;0.9311;7.5686;-5.1558;3.5078;1.6485;-0.232;0.5868;-0.6952;-1.3132;-2.7675;67168.0;-12.75;14.81;-37.0;280.25;22.79;-75.28;5.0;1009.84;47.507;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;3059;2020-09-25 14:51:01:031
5.9564;10.2311;-3.134;9.4328;2.2877;-1.3999;-0.1932;-0.3132;-2.3004;-1.1041;0.5;0.4721;26463.0;-34.28;-7.85;-29.21;264.19;-8.49;-93.09;5.0;1009.84;62.759;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;3559;2020-09-25 14:51:01:531
11.0456;-3.8196;0.8401;8.91;-3.9621;1.0413;-0.2047;0.4154;0.0906;-0.3665;-0.7366;-1.1053;49571.0;-15.13;23.92;-26.2;289.47;35.44;-77.79;5.0;1009.84;55.656;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;4059;2020-09-25 14:51:02:031
11.9643;-3.2339;0.9503;9.6396;0.88;-1.5727;0.1185;-0.1002;-1.726;0.718;-0.6005;-1.3555;29072.0;-32.82;1.68;-19.63;274.65;0.18;-96.09;5.0;1009.85;61.342;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;4559;2020-09-25 14:51:02:531
10.333;-5.7168;-3.8394;8.6034;0.7866;-4.6404;1.1568;-3.9735;-0.0075;4.2131;2.1112;0.1257;173.0;-26.89;9.97;-12.63;295.13;-4.6;-118.34;0.0;1009.9;64.308;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;5059;2020-09-25 14:51:03:031
9.4155;4.7287;-0.0282;7.2865;6.3506;-1.6576;9.3885;-3.7213;3.5638;5.8947;11.9171;-2.5749;111.0;21.38;-21.46;24.56;241.39;-25.4;-104.03;0.0;1009.95;66.092;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;5559;2020-09-25 14:51:03:531
4.9467;6.269;-0.1336;3.7715;8.7897;2.1651;2.2087;-1.6891;-1.507;-3.9812;-6.8433;-0.6774;13.0;-11.93;-6.58;30.23;94.35;-55.83;-71.36;0.0;1009.9;64.45;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;6059;2020-09-25 14:51:04:031
4.6054;8.1518;2.6463;5.0014;8.4354;0.0195;-0.24;0.2495;0.3691;0.8513;1.8595;0.2884;2.0;-8.21;-4.77;35.98;102.74;-53.62;-67.31;0.0;1009.89;57.223;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;6559;2020-09-25 14:51:04:531
4.6844;8.4129;8.6087;4.8102;8.1926;2.4318;1.3665;0.2021;-1.5011;-1.6655;-4.7336;-0.795;47.0;-6.02;-12.01;36.9;114.22;-56.66;-63.18;0.0;1009.89;53.128;37.510677;127.06058;47.0;NaN;;;22.108;;0 / 27;7059;2020-09-25 14:51:05:031
