ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6857;3.6512;8.9781;-0.7716;3.6694;9.0615;-0.075;-0.0031;0.0913;0.0343;0.0521;0.0129;10587;-32.08;-15.11;-50.85;83.72;-21.85;4.83;5;1010.55;43.871;37.517975;126.76524;33.85;NaN;;0;5.638741;;25 / 43;9;2021-05-13 12:03:33:620
-1.1699;4.0547;8.0798;-1.0687;3.908;8.9306;0.1361;-0.1658;0.2435;0.2089;0.1332;-0.3186;11614;-32.6;-16.5;-49.2;85.98;-22.57;5.81;5;1010.56;44.45;37.517975;126.76524;33.85;NaN;;0;5.638741;;25 / 43;508;2021-05-13 12:03:34:119
-0.0424;2.1236;13.2109;2.2721;1.6298;9.3996;1.1807;0.4594;-2.284;-0.7095;0.5185;-1.2257;11793;-45.55;-17.2;-41.78;93.06;-18.63;-1.09;5;1010.56;46.176;37.517975;126.76525;34.66;NaN;;0;4.767556;;26 / 43;1008;2021-05-13 12:03:34:619
2.3275;-0.1668;9.4318;3.2812;0.6141;9.221;0.9508;1.6415;0.497;-1.6751;-1.6481;-2.7306;12321;-44.38;-20.8;-40.33;116.96;-2.09;-8.03;5;1010.58;47.772;37.517975;126.76525;34.66;NaN;;0;4.767556;;26 / 43;1509;2021-05-13 12:03:35:120
6.8289;0.4847;8.7382;4.9982;2.6008;8.0265;1.6494;0.0105;0.8772;1.13;1.0256;0.5872;11700;-32.4;-44.22;-31.37;156.41;-14.68;-27.73;5;1010.54;47.846;37.517952;126.76526;40.33;NaN;;0;4.42711;;32 / 43;2008;2021-05-13 12:03:35:619
5.4676;1.6075;7.73;5.7074;3.4437;7.1929;-0.1806;0.9589;-1.9188;-1.732;0.0399;1.0918;13424;-46.89;-40.42;-16.14;127.98;-25.52;-30.36;5;1010.56;55.337;37.517952;126.76526;40.33;NaN;;0;4.42711;;32 / 43;2509;2021-05-13 12:03:36:120
8.7405;-4.1406;5.0488;9.0584;-1.0774;3.5993;-1.3228;-1.4685;-0.4798;-3.5424;-1.5157;-0.4701;11823;-54.53;-23.4;0.34;123.95;-1.25;-53.5;5;1010.63;58.447;37.51794;126.76526;35.09;NaN;;0.46;4.847614;147.3;32 / 43;3008;2021-05-13 12:03:36:619
7.0527;-1.9446;4.0578;7.9974;-2.3326;5.174;-1.577;-0.247;-0.9332;-0.5026;-0.0246;0.9625;11359;-55.02;-14.04;-3.9;133.43;13.76;-57.1;5;1010.6;58.196;37.51794;126.76526;35.09;NaN;;0.46;4.847614;147.3;32 / 43;3508;2021-05-13 12:03:37:119
7.8555;-3.9503;1.5911;7.738;-5.189;3.0608;-0.1889;-0.9861;0.5964;0.3702;-0.9435;-0.2209;9457;-57.74;-4.28;2.76;142.42;31.95;-68.42;5;1010.56;63.608;37.517914;126.76526;35.26;NaN;;1.67;6.296279;186.4;33 / 43;4008;2021-05-13 12:03:37:619
7.501;-7.6281;0.5549;7.5025;-6.3135;0.1485;0.9956;1.0186;1.6848;0.633;0.1381;1.6415;5826;-56.85;-6.15;-2.04;179.62;34.03;-87.74;5;1010.53;61.827;37.517914;126.76526;35.26;NaN;;1.67;6.296279;186.4;33 / 43;4507;2021-05-13 12:03:38:118
6.6455;-3.0349;-3.5161;8.6692;-4.5343;0.6752;-0.6903;-2.8485;-0.2794;-1.7127;0.4319;-1.6713;7220;-42.93;-1.36;12.58;151.31;46.83;-84.62;5;1010.59;62.025;37.5179;126.76528;34.62;NaN;;1.2;7.785137;112.2;33 / 43;5008;2021-05-13 12:03:38:619
6.3765;1.4234;4.1272;8.1457;2.7644;4.7092;1.128;-3.767;0.395;0.7566;1.9647;-1.1028;9379;-23.57;-44.43;14.87;146.99;-16.37;-59.97;5;1010.57;54.693;37.5179;126.76528;34.62;NaN;;1.2;7.785137;112.2;33 / 43;5508;2021-05-13 12:03:39:119
