# Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.009303, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.019078, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.029061, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.039041, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.048532, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.058572, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.068521, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.078521, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.088574, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.098521, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.108613, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.118584, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.127727, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.137712, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.147746, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.157809, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.167099, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.176814, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.186738, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.196217, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.205404, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.214888, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.224834, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.234837, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.244862, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.254806, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.264807, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.274874, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.284229, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.294231, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.304234, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.314235, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.324235, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.334327, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.344326, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.353396, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.362458, 0.000041, 0.000000, 0.000000, 0.004578, 0.000000
0.372548, 0.000182, 0.000000, 0.000000, 0.014032, 0.000000
0.382533, 0.000398, 0.000000, 0.000000, 0.021500, 0.000000
0.391736, 0.000730, 0.000000, 0.000000, 0.036147, 0.000000
0.401237, 0.001157, 0.000000, 0.000000, 0.044797, 0.000000
0.411237, 0.001679, 0.000000, 0.000000, 0.052199, 0.000000
0.420553, 0.002251, 0.000000, 0.000000, 0.061484, 0.000000
0.430175, 0.002956, 0.000000, 0.000000, 0.073251, 0.000000
0.440203, 0.003764, 0.000000, 0.000000, 0.080608, 0.000000
0.450227, 0.004614, 0.000000, 0.000000, 0.084757, 0.000000
0.459426, 0.005626, 0.000000, 0.000000, 0.110206, 0.000000
0.469418, 0.006737, 0.000000, 0.000000, 0.111173, 0.000000
