# Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.000242, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.099517, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.199181, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.299244, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.398362, 0.000726, 0.000000, 0.000018, 0.000000, 0.000000
0.498346, 0.009207, 0.000001, 0.000231, 0.000000, 0.000000
0.597804, 0.026925, 0.000009, 0.000677, 0.000000, 0.000000
0.697744, 0.057657, 0.000042, 0.001449, 0.000000, 0.000000
0.796922, 0.095712, 0.000115, 0.002405, 0.000000, 0.000000
0.896191, 0.142887, 0.000256, 0.003590, 0.000000, 0.000000
0.996057, 0.200206, 0.000504, 0.005030, 0.000000, 0.000000
1.096093, 0.267890, 0.000902, 0.006731, 0.000000, 0.000000
1.195796, 0.351315, 0.001551, 0.008827, 0.000000, 0.000000
1.295037, 0.437547, 0.002405, 0.010994, 0.000000, 0.000000
1.394246, 0.531717, 0.003534, 0.012308, 0.000000, 0.000000
1.493835, 0.627320, 0.004680, 0.011679, 0.000000, 0.000000
1.593918, 0.724859, 0.005783, 0.010953, 0.000000, 0.000000
1.693204, 0.829674, 0.006886, 0.010101, 0.000000, 0.000000
1.792944, 0.925873, 0.007819, 0.009445, 0.000000, 0.000000
1.892807, 1.021197, 0.008691, 0.008757, 0.000000, 0.000000
1.992135, 1.123172, 0.009533, 0.007730, 0.000000, 0.000000
2.092031, 1.210154, 0.010159, 0.006616, 0.000000, 0.000000
2.191472, 1.295166, 0.010662, 0.005132, 0.000000, 0.000000
2.291097, 1.362609, 0.010957, 0.003547, 0.000000, 0.000000
2.391202, 1.420428, 0.011112, 0.001741, 0.000000, 0.000000
2.490341, 1.469639, 0.011148, -0.000415, 0.000000, 0.000000
2.590304, 1.517766, 0.011067, -0.003011, 0.000000, 0.000000
2.689470, 1.570099, 0.010828, -0.006141, 0.000000, 0.000000
2.789580, 1.623259, 0.010410, -0.009642, 0.000000, 0.000000
2.889477, 1.665806, 0.009936, -0.012708, 0.000000, 0.000000
2.988825, 1.715097, 0.009215, -0.016616, 0.000000, 0.000000
3.088037, 1.768742, 0.008199, -0.021373, 0.000000, 0.000000
3.187704, 1.821138, 0.006943, -0.026635, 0.000000, 0.000000
3.287804, 1.868814, 0.005545, -0.032161, 0.000000, 0.000000
3.387029, 1.915759, 0.003888, -0.038612, 0.000000, 0.000000
3.486438, 1.953012, 0.002330, -0.045296, 0.000000, 0.000000
3.585518, 1.979746, 0.001035, -0.051946, 0.000000, 0.000000
3.685252, 1.998129, 0.000019, -0.059094, 0.000000, 0.000000
3.785235, 2.006846, -0.000523, -0.066403, 0.000000, 0.000000
3.885259, 2.007854, -0.000591, -0.065903, 0.000000, 0.000000
3.984390, 2.007911, -0.000593, -0.010048, 0.000000, 0.000000
4.083800, 2.007987, -0.000591, 0.066041, 0.000000, 0.000000
4.182945, 2.008063, -0.000583, 0.141985, 0.000000, 0.000000
4.282098, 2.008137, -0.000570, 0.217269, 0.000000, 0.000000
4.381294, 2.008212, -0.000550, 0.293770, 0.000000, 0.000000
4.480914, 2.008284, -0.000525, 0.370168, 0.000000, 0.000000
4.580030, 2.008356, -0.000494, 0.447618, 0.000000, 0.000000
4.679618, 2.008422, -0.000459, 0.522346, 0.000000, 0.000000
4.779003, 2.008493, -0.000414, 0.605983, 0.000000, 0.000000
4.878276, 2.008554, -0.000369, 0.682216, 0.000000, 0.000000
4.978304, 2.008612, -0.000318, 0.758140, 0.000000, 0.000000
5.078341, 2.008670, -0.000258, 0.840994, 0.000000, 0.000000
5.178086, 2.008718, -0.000200, 0.915989, 0.000000, 0.000000
5.278153, 2.008761, -0.000139, 0.990861, 0.000000, 0.000000
5.378021, 2.008804, -0.000068, 1.072973, 0.000000, 0.000000
5.478039, 2.008838, 0.000002, 1.151062, 0.000000, 0.000000
5.577647, 2.008866, 0.000071, 1.224572, 0.000000, 0.000000
5.677145, 2.008887, 0.000135, 1.292266, 0.000000, 0.000000
5.776923, 2.008904, 0.000205, 1.363487, 0.000000, 0.000000
5.876386, 2.008915, 0.000262, 1.421714, 0.000000, 0.000000
5.976004, 2.008921, 0.000312, 1.471195, 0.000000, 0.000000
6.075191, 2.008924, 0.000348, 1.507167, 0.000000, 0.000000
6.174441, 2.008925, 0.000378, 1.537528, 0.000000, 0.000000
6.274507, 2.008926, 0.000394, 1.552874, 0.000000, 0.000000
6.374078, 2.008926, 0.000394, 1.552874, 0.000000, 0.000000
6.473598, 2.008926, 0.000394, 1.552874, 0.000000, 0.000000
6.572749, 2.008926, 0.000394, 1.552874, 0.000000, 0.000000
6.672375, 2.008926, 0.000394, 1.552874, 0.000000, 0.000000
6.772425, 2.008966, 0.002650, 1.552930, 0.000000, 0.000000
6.872301, 2.009165, 0.013877, 1.553212, 0.000000, 0.000000
6.971628, 2.009527, 0.034805, 1.553738, 0.000000, 0.000000
7.071498, 2.010038, 0.065438, 1.554508, 0.000000, 0.000000
7.171121, 2.010739, 0.109992, 1.555628, 0.000000, 0.000000
7.270997, 2.011473, 0.160471, 1.556896, 0.000000, 0.000000
7.370392, 2.012258, 0.220161, 1.558396, 0.000000, 0.000000
7.470315, 2.013048, 0.288659, 1.560117, 0.000000, 0.000000
7.569417, 2.013800, 0.366085, 1.562063, 0.000000, 0.000000
7.668765, 2.014521, 0.461827, 1.564468, 0.000000, 0.000000
7.768044, 2.014924, 0.548467, 1.568636, 0.000000, 0.000000
7.868118, 2.014786, 0.663300, 1.575079, 0.000000, 0.000000
7.967739, 2.014164, 0.759468, 1.579300, 0.000000, 0.000000
8.066903, 2.013164, 0.857110, 1.582640, 0.000000, 0.000000
8.166145, 2.011895, 0.953773, 1.585038, 0.000000, 0.000000
8.265709, 2.010424, 1.050684, 1.586844, 0.000000, 0.000000
8.365842, 2.008910, 1.140750, 1.588334, 0.000000, 0.000000
8.466037, 2.007410, 1.223170, 1.589632, 0.000000, 0.000000
8.565311, 2.005851, 1.303372, 1.590802, 0.000000, 0.000000
8.664632, 2.004581, 1.365572, 1.591591, 0.000000, 0.000000
8.763909, 2.003361, 1.423338, 1.592125, 0.000000, 0.000000
8.863925, 2.002358, 1.472001, 1.590667, 0.000000, 0.000000
8.963450, 2.001351, 1.525067, 1.588804, 0.000000, 0.000000
9.062624, 2.000529, 1.573305, 1.586839, 0.000000, 0.000000
9.161796, 1.999803, 1.621827, 1.584583, 0.000000, 0.000000
9.260974, 1.999199, 1.670044, 1.582031, 0.000000, 0.000000
9.360183, 1.998728, 1.717937, 1.579161, 0.000000, 0.000000
9.459349, 1.998400, 1.766792, 1.575779, 0.000000, 0.000000
9.559498, 1.998246, 1.820941, 1.571405, 0.000000, 0.000000
9.659354, 1.998323, 1.868634, 1.566828, 0.000000, 0.000000
9.759434, 1.998626, 1.915095, 1.561633, 0.000000, 0.000000
9.858729, 1.999104, 1.955570, 1.556071, 0.000000, 0.000000
9.958314, 1.999691, 1.988732, 1.549726, 0.000000, 0.000000
10.057662, 2.000176, 2.009073, 1.543637, 0.000000, 0.000000
10.157785, 2.000488, 2.019544, 1.537486, 0.000000, 0.000000
10.257274, 2.000557, 2.021543, 1.533391, 0.000000, 0.000000
10.356577, 2.000556, 2.021521, 1.510991, 0.000000, 0.000000
10.456577, 2.000549, 2.021447, 1.437481, 0.000000, 0.000000
10.556568, 2.000536, 2.021372, 1.361722, 0.000000, 0.000000
