# # Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.100000, 0.010000, 0.000005, 0.001000, 0.100000, 0.010000
0.200000, 0.030000, 0.000045, 0.003000, 0.200000, 0.020000
0.300000, 0.060000, 0.000180, 0.006000, 0.300000, 0.030000
0.400000, 0.099998, 0.000500, 0.010000, 0.400000, 0.040000
0.500000, 0.149994, 0.001125, 0.015000, 0.500000, 0.050000
0.600000, 0.209985, 0.002205, 0.021000, 0.600000, 0.060000
0.700000, 0.279964, 0.003920, 0.028000, 0.700000, 0.070000
0.800000, 0.359923, 0.006479, 0.036000, 0.800000, 0.080000
0.900000, 0.449849, 0.010123, 0.045000, 0.900000, 0.090000
1.000000, 0.549724, 0.015121, 0.055000, 1.000000, 0.100000
1.100000, 0.649544, 0.021118, 0.065000, 1.000000, 0.100000
1.200000, 0.749299, 0.028112, 0.075000, 1.000000, 0.100000
1.300000, 0.848979, 0.036103, 0.085000, 1.000000, 0.100000
1.400000, 0.948575, 0.045091, 0.095000, 1.000000, 0.100000
1.500000, 1.048075, 0.055075, 0.105000, 1.000000, 0.100000
1.600000, 1.147471, 0.066052, 0.115000, 1.000000, 0.100000
1.700000, 1.246751, 0.078024, 0.125000, 1.000000, 0.100000
1.800000, 1.345908, 0.090987, 0.135000, 1.000000, 0.100000
1.900000, 1.444929, 0.104941, 0.145000, 1.000000, 0.100000
2.000000, 1.543806, 0.119885, 0.155000, 1.000000, 0.100000
2.100000, 1.642529, 0.135817, 0.165000, 1.000000, 0.100000
2.200000, 1.741088, 0.152735, 0.175000, 1.000000, 0.100000
2.300000, 1.839472, 0.170638, 0.185000, 1.000000, 0.100000
2.400000, 1.937672, 0.189524, 0.195000, 1.000000, 0.100000
2.500000, 2.035679, 0.209391, 0.205000, 1.000000, 0.100000
2.600000, 2.133482, 0.230237, 0.215000, 1.000000, 0.100000
2.700000, 2.231072, 0.252060, 0.225000, 1.000000, 0.100000
2.800000, 2.328439, 0.274858, 0.235000, 1.000000, 0.100000
2.900000, 2.425572, 0.298628, 0.245000, 1.000000, 0.100000
3.000000, 2.522464, 0.323368, 0.255000, 1.000000, 0.100000
3.100000, 2.619103, 0.349076, 0.265000, 1.000000, 0.100000
3.200000, 2.715480, 0.375750, 0.275000, 1.000000, 0.100000
3.300000, 2.811585, 0.403385, 0.285000, 1.000000, 0.100000
3.400000, 2.907410, 0.431980, 0.295000, 1.000000, 0.100000
3.500000, 3.002943, 0.461532, 0.305000, 1.000000, 0.100000
3.600000, 3.098177, 0.492038, 0.315000, 1.000000, 0.100000
3.700000, 3.193100, 0.523495, 0.325000, 1.000000, 0.100000
