# Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.009502, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.019551, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.029519, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.039516, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.049506, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.059505, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.069501, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.078652, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.087910, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.097465, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.107477, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.116741, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.126231, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.135565, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.145481, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.155518, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.165680, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.174918, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.184193, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.193540, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.203630, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.212874, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.222834, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.232206, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.242186, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.252221, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.262215, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.272218, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.281614, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.291638, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.301644, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.311675, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.321628, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.331643, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.341696, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.351633, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.361688, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.371676, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.381718, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.391684, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.401766, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.411655, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.421668, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.431676, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.440969, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.450950, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.460809, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.470739, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.480364, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.490283, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.500272, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.510275, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.520302, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.530272, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.540265, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.550247, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.560289, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.570252, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.579726, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.589676, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.599665, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.609788, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.619693, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.629699, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.639695, 0.000050, 0.000000, 0.000000, 0.004977, 0.000000
0.649669, 0.000199, 0.000000, 0.000000, 0.014968, 0.000000
0.659651, 0.000448, 0.000000, 0.000000, 0.024891, 0.000000
0.669713, 0.000796, 0.000000, 0.000000, 0.034660, 0.000000
0.679659, 0.001244, 0.000000, 0.000000, 0.044932, 0.000000
0.689634, 0.001791, 0.000000, 0.000000, 0.054844, 0.000000
0.699662, 0.002442, 0.000000, 0.000000, 0.064914, 0.000000
0.709652, 0.003192, 0.000000, 0.000000, 0.075148, 0.000000
0.719746, 0.004042, 0.000000, 0.000000, 0.084336, 0.000000
0.729646, 0.004905, 0.000000, 0.000000, 0.086883, 0.000000
0.738842, 0.005858, 0.000000, 0.000000, 0.103656, 0.000000
0.748091, 0.006882, 0.000000, 0.000000, 0.111023, 0.000000
0.757720, 0.008068, 0.000000, 0.000000, 0.123086, 0.000000
0.767714, 0.009386, 0.000000, 0.000000, 0.131915, 0.000000
0.777534, 0.010779, 0.000000, 0.000000, 0.142224, 0.000000
0.787543, 0.012293, 0.000000, 0.000000, 0.150799, 0.000000
0.797553, 0.013918, 0.000000, 0.000000, 0.162445, 0.000000
0.807113, 0.015560, 0.000000, 0.000000, 0.171730, 0.000000
0.817136, 0.017375, 0.000000, 0.000000, 0.181601, 0.000000
0.827091, 0.019283, 0.000000, 0.000000, 0.191041, 0.000000
0.837087, 0.021297, 0.000000, 0.000000, 0.201270, 0.000000
0.847195, 0.023416, 0.000000, 0.000000, 0.209644, 0.000000
0.857086, 0.025651, 0.000000, 0.000000, 0.226235, 0.000000
0.866507, 0.027844, 0.000000, 0.000000, 0.232475, 0.000000
0.875632, 0.030248, 0.000000, 0.000000, 0.263413, 0.000000
0.884786, 0.032541, 0.000000, 0.000000, 0.250564, 0.000000
0.894866, 0.035161, 0.000000, 0.000000, 0.260067, 0.000000
0.904080, 0.037649, 0.000000, 0.000000, 0.270167, 0.000000
0.913409, 0.040248, 0.000000, 0.000000, 0.279765, 0.000000
0.923417, 0.043138, 0.000000, 0.000000, 0.287670, 0.000000
0.933401, 0.046123, 0.000000, 0.000000, 0.298893, 0.000000
0.943400, 0.049212, 0.000000, 0.000000, 0.308861, 0.000000
0.953414, 0.052400, 0.000000, 0.000000, 0.319412, 0.000000
0.963514, 0.055389, 0.000000, 0.000000, 0.295013, 0.000000
0.972675, 0.058478, 0.000000, 0.000000, 0.336897, 0.000000
0.981852, 0.061670, 0.000000, 0.000000, 0.348642, 0.000000
0.991760, 0.065190, 0.000000, 0.000000, 0.355151, 0.000000
1.001733, 0.068847, 0.000000, 0.000000, 0.366552, 0.000000
1.011747, 0.072611, 0.000000, 0.000000, 0.375762, 0.000000
1.021730, 0.076463, 0.000000, 0.000000, 0.386068, 0.000000
1.031733, 0.080430, 0.000000, 0.000000, 0.396311, 0.000000
1.041739, 0.084485, 0.000000, 0.000000, 0.405510, 0.000000
1.051732, 0.088701, 0.000000, 0.000000, 0.421554, 0.000000
1.060869, 0.092955, 0.000000, 0.000000, 0.465598, 0.000000
1.070744, 0.097250, 0.000000, 0.000000, 0.436200, 0.000000
1.080668, 0.101695, 0.000000, 0.000000, 0.446836, 0.000000
1.090689, 0.106255, 0.000000, 0.000000, 0.455316, 0.000000
1.100875, 0.110521, 0.000000, 0.000000, 0.421358, 0.000000
1.110452, 0.114874, 0.000000, 0.000000, 0.451728, 0.000000
1.120473, 0.119489, 0.000000, 0.000000, 0.461170, 0.000000
1.130370, 0.124348, 0.000000, 0.000000, 0.490078, 0.000000
1.140377, 0.129402, 0.000000, 0.000000, 0.505155, 0.000000
1.150379, 0.134518, 0.000000, 0.000000, 0.511262, 0.000000
1.160385, 0.139771, 0.000000, 0.000000, 0.524867, 0.000000
1.170447, 0.145094, 0.000000, 0.000000, 0.530368, 0.000000
1.180394, 0.150521, 0.000000, 0.000000, 0.544383, 0.000000
1.190537, 0.156101, 0.000000, 0.000000, 0.550838, 0.000000
1.200396, 0.161723, 0.000000, 0.000000, 0.569697, 0.000000
1.210483, 0.166918, 0.000000, 0.000000, 0.514909, 0.000000
1.220486, 0.172788, 0.000000, 0.000000, 0.587018, 0.000000
1.230461, 0.178655, 0.000000, 0.000000, 0.588062, 0.000000
1.240460, 0.184695, 0.000000, 0.000000, 0.604144, 0.000000
1.250475, 0.190840, 0.000000, 0.000000, 0.613330, 0.000000
1.260480, 0.197050, 0.000000, 0.000000, 0.622396, 0.000000
1.270462, 0.203373, 0.000000, 0.000000, 0.631503, 0.000000
1.280447, 0.209803, 0.000000, 0.000000, 0.643617, 0.000000
1.290467, 0.216333, 0.000000, 0.000000, 0.652515, 0.000000
1.300461, 0.222954, 0.000000, 0.000000, 0.662479, 0.000000
