# Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.008717, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.099465, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.198638, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.298648, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.398675, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.498272, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.597666, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.697663, 0.001782, 0.000000, 0.000045, 0.000000, 0.000000
0.797538, 0.012231, 0.000002, 0.000307, 0.000000, 0.000000
0.897799, 0.034986, 0.000015, 0.000879, 0.000000, 0.000000
0.997749, 0.064864, 0.000053, 0.001630, 0.000000, 0.000000
1.097683, 0.105724, 0.000140, 0.002656, 0.000000, 0.000000
1.197397, 0.155320, 0.000303, 0.003903, 0.000000, 0.000000
1.297453, 0.215250, 0.000582, 0.005408, 0.000000, 0.000000
1.396738, 0.283660, 0.001011, 0.007127, 0.000000, 0.000000
1.496884, 0.369366, 0.001714, 0.009281, 0.000000, 0.000000
1.596132, 0.457978, 0.002635, 0.011507, 0.000000, 0.000000
1.695720, 0.554197, 0.003808, 0.012131, 0.000000, 0.000000
1.795357, 0.649427, 0.004935, 0.011481, 0.000000, 0.000000
1.894824, 0.756063, 0.006118, 0.010665, 0.000000, 0.000000
1.994265, 0.852034, 0.007101, 0.009817, 0.000000, 0.000000
2.094222, 0.956203, 0.008081, 0.008928, 0.000000, 0.000000
2.194305, 1.053259, 0.008910, 0.008098, 0.000000, 0.000000
2.294254, 1.149297, 0.009651, 0.007283, 0.000000, 0.000000
2.394021, 1.245567, 0.010313, 0.006454, 0.000000, 0.000000
2.493253, 1.342194, 0.010902, 0.005705, 0.000000, 0.000000
2.592598, 1.439484, 0.011424, 0.005004, 0.000000, 0.000000
2.692620, 1.543883, 0.011905, 0.004245, 0.000000, 0.000000
2.792495, 1.641425, 0.012287, 0.003612, 0.000000, 0.000000
2.891854, 1.746243, 0.012632, 0.002977, 0.000000, 0.000000
2.991385, 1.842272, 0.012894, 0.002492, 0.000000, 0.000000
3.090871, 1.950251, 0.013135, 0.001977, 0.000000, 0.000000
3.190624, 2.037074, 0.013291, 0.001622, 0.000000, 0.000000
3.290765, 2.134607, 0.013423, 0.001143, 0.000000, 0.000000
3.390611, 2.240528, 0.013521, 0.000742, 0.000000, 0.000000
3.489932, 2.336878, 0.013578, 0.000471, 0.000000, 0.000000
3.590040, 2.442874, 0.013610, 0.000154, 0.000000, 0.000000
3.689873, 2.539303, 0.013613, -0.000074, 0.000000, 0.000000
3.789742, 2.636638, 0.013594, -0.000247, 0.000000, 0.000000
3.889769, 2.733189, 0.013562, -0.000379, 0.000000, 0.000000
3.989673, 2.829577, 0.013521, -0.000422, 0.000000, 0.000000
4.089326, 2.935696, 0.013469, -0.000509, 0.000000, 0.000000
4.188784, 3.041621, 0.013411, -0.000560, 0.000000, 0.000000
4.288395, 3.137754, 0.013371, -0.000217, 0.000000, 0.000000
4.388317, 3.233258, 0.013365, 0.000120, 0.000000, 0.000000
4.487651, 3.329238, 0.013387, 0.000355, 0.000000, 0.000000
4.587060, 3.424275, 0.013429, 0.000557, 0.000000, 0.000000
4.686831, 3.539202, 0.013504, 0.000774, 0.000000, 0.000000
4.787062, 3.637040, 0.013583, 0.000860, 0.000000, 0.000000
4.886634, 3.733476, 0.013669, 0.000952, 0.000000, 0.000000
4.986056, 3.828944, 0.013763, 0.001031, 0.000000, 0.000000
5.085476, 3.924835, 0.013862, 0.001068, 0.000000, 0.000000
5.184815, 4.029742, 0.013975, 0.001095, 0.000000, 0.000000
5.284622, 4.125406, 0.014080, 0.001106, 0.000000, 0.000000
5.384701, 4.221536, 0.014186, 0.001129, 0.000000, 0.000000
5.484612, 4.326012, 0.014304, 0.001134, 0.000000, 0.000000
5.584284, 4.423163, 0.014410, 0.001090, 0.000000, 0.000000
5.683683, 4.520415, 0.014515, 0.001079, 0.000000, 0.000000
5.783449, 4.617913, 0.014616, 0.001043, 0.000000, 0.000000
5.883411, 4.714668, 0.014714, 0.001030, 0.000000, 0.000000
5.983547, 4.810407, 0.014808, 0.000981, 0.000000, 0.000000
6.083448, 4.924817, 0.014913, 0.000876, 0.000000, 0.000000
6.182985, 5.021867, 0.014994, 0.000818, 0.000000, 0.000000
6.282810, 5.117212, 0.015069, 0.000770, 0.000000, 0.000000
6.382735, 5.223576, 0.015144, 0.000679, 0.000000, 0.000000
