# Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.009132, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.018873, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.028891, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.038889, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.048892, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.059027, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.068873, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.078925, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.088858, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.098854, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.108855, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.118866, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.128910, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.138871, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.148854, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.158855, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.168858, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.178864, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.188867, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.198861, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.208940, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.218868, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.228876, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.238890, 0.000000, 0.000000, 0.000249, 0.000000, 0.024863
0.248858, 0.000000, 0.000000, 0.000995, 0.000000, 0.074787
0.258868, 0.000000, 0.000000, 0.002260, 0.000000, 0.126403
0.268851, 0.000000, 0.000000, 0.004001, 0.000000, 0.174242
0.278856, 0.000000, 0.000000, 0.006260, 0.000000, 0.225935
0.288846, 0.000000, 0.000000, 0.009017, 0.000000, 0.275871
0.298853, 0.000000, 0.000000, 0.012272, 0.000000, 0.325277
0.308933, 0.000000, 0.000000, 0.016045, 0.000000, 0.375212
0.318878, 0.000000, 0.000000, 0.020294, 0.000000, 0.426237
0.328873, 0.000000, 0.000000, 0.025062, 0.000000, 0.477030
0.338869, 0.000000, 0.000000, 0.030286, 0.000000, 0.522748
0.348877, 0.000000, 0.000000, 0.036028, 0.000000, 0.573651
0.358882, 0.000000, 0.000000, 0.042288, 0.000000, 0.625826
0.368855, 0.000000, 0.000000, 0.049046, 0.000000, 0.677472
0.378874, 0.000000, 0.000000, 0.056281, 0.000000, 0.722172
0.388869, 0.000000, 0.000000, 0.063971, 0.000000, 0.769141
0.398841, 0.000000, 0.000000, 0.071807, 0.000000, 0.785602
0.408886, 0.000000, 0.000000, 0.079663, 0.000000, 0.783448
0.418855, 0.000000, 0.000000, 0.087520, 0.000000, 0.787174
0.428857, 0.000000, 0.000000, 0.095376, 0.000000, 0.785424
0.438844, 0.000000, 0.000000, 0.103212, 0.000000, 0.784156
0.448853, 0.000000, 0.000000, 0.111069, 0.000000, 0.785290
0.458860, 0.000000, 0.000000, 0.118925, 0.000000, 0.785256
0.468866, 0.000000, 0.000000, 0.126781, 0.000000, 0.784887
0.478881, 0.000000, 0.000000, 0.134638, 0.000000, 0.784652
0.488866, 0.000000, 0.000000, 0.142515, 0.000000, 0.789048
0.498860, 0.000000, 0.000000, 0.150351, 0.000000, 0.783988
0.508885, 0.000000, 0.000000, 0.158249, 0.000000, 0.788221
0.518860, 0.000000, 0.000000, 0.166085, 0.000000, 0.785063
0.528846, 0.000000, 0.000000, 0.173920, 0.000000, 0.784391
0.538850, 0.000000, 0.000000, 0.181777, 0.000000, 0.785390
0.548874, 0.000000, 0.000000, 0.189612, 0.000000, 0.781947
0.558903, 0.000000, 0.000000, 0.197490, 0.000000, 0.788305
0.568860, 0.000000, 0.000000, 0.205325, 0.000000, 0.784156
0.578878, 0.000000, 0.000000, 0.213182, 0.000000, 0.784183
0.588866, 0.000000, 0.000000, 0.221038, 0.000000, 0.786399
0.598869, 0.000000, 0.000000, 0.228895, 0.000000, 0.785491
0.608873, 0.000000, 0.000000, 0.236751, 0.000000, 0.785793
