# Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.000224, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.099891, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.199891, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.299866, 0.000012, 0.000000, 0.012210, 0.000000, 0.000000
0.399869, 0.000072, 0.000003, 0.071448, 0.000000, 0.000000
0.499863, 0.000150, 0.000011, 0.149599, 0.000000, 0.000000
0.599856, 0.000227, 0.000026, 0.227750, 0.000000, 0.000000
0.699125, 0.000293, 0.000044, 0.295341, 0.000000, 0.000000
0.798600, 0.000331, 0.000056, 0.335087, 0.000000, 0.000000
0.897783, 0.001508, 0.000467, 0.336170, 0.000000, 0.000000
0.997151, 0.009315, 0.003196, 0.336378, 0.000000, 0.000000
1.098819, 0.030181, 0.010499, 0.336934, 0.000000, 0.000000
1.198025, 0.055001, 0.019202, 0.337594, 0.000000, 0.000000
1.297967, 0.094170, 0.032975, 0.338638, 0.000000, 0.000000
1.397365, 0.138937, 0.048772, 0.339830, 0.000000, 0.000000
1.496789, 0.198939, 0.070040, 0.341430, 0.000000, 0.000000
1.596477, 0.262458, 0.092725, 0.346765, 0.000000, 0.000000
1.696482, 0.328920, 0.117756, 0.379663, 0.000000, 0.000000
1.796533, 0.396741, 0.147095, 0.437352, 0.000000, 0.000000
1.896324, 0.474815, 0.187480, 0.519237, 0.000000, 0.000000
1.996163, 0.547998, 0.233248, 0.597163, 0.000000, 0.000000
2.096114, 0.625475, 0.290568, 0.674733, 0.000000, 0.000000
2.196110, 0.697990, 0.352901, 0.745252, 0.000000, 0.000000
2.295739, 0.767786, 0.421912, 0.812224, 0.000000, 0.000000
2.395511, 0.832500, 0.494635, 0.874906, 0.000000, 0.000000
2.495311, 0.899391, 0.579795, 0.932450, 0.000000, 0.000000
2.595459, 0.954601, 0.658020, 0.979685, 0.000000, 0.000000
2.695173, 1.007282, 0.739828, 1.017182, 0.000000, 0.000000
2.794649, 1.056639, 0.823036, 1.053552, 0.000000, 0.000000
2.893987, 1.107627, 0.916833, 1.091050, 0.000000, 0.000000
2.993328, 1.155057, 1.011721, 1.121869, 0.000000, 0.000000
3.092911, 1.195964, 1.099361, 1.145585, 0.000000, 0.000000
3.192429, 1.234440, 1.186796, 1.165888, 0.000000, 0.000000
3.291786, 1.274837, 1.283572, 1.184755, 0.000000, 0.000000
3.391758, 1.310383, 1.373196, 1.201501, 0.000000, 0.000000
3.491103, 1.345053, 1.464735, 1.215924, 0.000000, 0.000000
3.591229, 1.377739, 1.554623, 1.227278, 0.000000, 0.000000
3.691014, 1.412669, 1.653917, 1.237338, 0.000000, 0.000000
3.790823, 1.444092, 1.745824, 1.245068, 0.000000, 0.000000
3.890530, 1.474621, 1.837044, 1.250538, 0.000000, 0.000000
3.990595, 1.504588, 1.928166, 1.255537, 0.000000, 0.000000
4.090828, 1.534768, 2.021404, 1.259556, 0.000000, 0.000000
4.189975, 1.564570, 2.114512, 1.262435, 0.000000, 0.000000
4.289698, 1.593832, 2.206705, 1.264371, 0.000000, 0.000000
4.389214, 1.626294, 2.309581, 1.265740, 0.000000, 0.000000
4.489291, 1.657709, 2.409484, 1.266443, 0.000000, 0.000000
