# # Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.100000, 0.050096, 0.000392, 0.015651, 0.500975, 0.156506
0.200000, 0.100471, 0.001577, 0.031377, 0.503888, 0.157268
0.300000, 0.151301, 0.003576, 0.047229, 0.508697, 0.158521
0.400000, 0.202756, 0.006421, 0.063253, 0.515338, 0.160238
0.500000, 0.254996, 0.010156, 0.079492, 0.523724, 0.162387
0.600000, 0.308166, 0.014833, 0.095985, 0.533754, 0.164925
0.700000, 0.362400, 0.020514, 0.112765, 0.545312, 0.167807
0.800000, 0.417817, 0.027270, 0.129864, 0.558275, 0.170983
0.900000, 0.474520, 0.035179, 0.147304, 0.572517, 0.174402
1.000000, 0.532595, 0.044325, 0.165105, 0.587910, 0.178011
1.100000, 0.592114, 0.054799, 0.183281, 0.604330, 0.181757
1.200000, 0.653130, 0.066696, 0.201840, 0.621656, 0.185591
1.300000, 0.715685, 0.080115, 0.220786, 0.639773, 0.189463
1.400000, 0.779801, 0.095158, 0.240119, 0.658572, 0.193326
1.500000, 0.845489, 0.111929, 0.259832, 0.677951, 0.197137
1.600000, 0.912745, 0.130533, 0.279918, 0.697817, 0.200854
1.700000, 0.981551, 0.151077, 0.300361, 0.718079, 0.204437
1.800000, 1.051879, 0.173663, 0.321146, 0.738659, 0.207851
1.900000, 1.123687, 0.198395, 0.342253, 0.759480, 0.211063
2.000000, 1.196924, 0.225374, 0.363657, 0.780473, 0.214041
2.100000, 1.271526, 0.254696, 0.385332, 0.801575, 0.216757
2.200000, 1.347422, 0.286453, 0.407251, 0.822726, 0.219186
2.300000, 1.424533, 0.320733, 0.429381, 0.843872, 0.221303
2.400000, 1.502770, 0.357617, 0.451690, 0.864961, 0.223089
2.500000, 1.582041, 0.397180, 0.474142, 0.885948, 0.224522
2.600000, 1.662245, 0.439489, 0.496701, 0.906789, 0.225588
2.700000, 1.743276, 0.484604, 0.519328, 0.927443, 0.226269
2.800000, 1.825028, 0.532576, 0.541984, 0.947873, 0.226554
