# Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.008887, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.018765, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.028645, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.038748, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.048643, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.058648, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.068641, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.078638, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.088649, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.098637, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.108640, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.118791, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.128646, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.138704, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.148727, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.158646, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.168645, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.178633, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.188647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.198640, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.208642, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.218642, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.228643, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.238647, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.248639, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.258642, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.268889, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.278639, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.288699, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.298634, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.308643, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.318682, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
