# Time [sec], X [m], Y [m], Theta [rad], LinVel [m/s], AngVel [rad/s]
0.000115, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.099788, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.199631, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.299640, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.399686, 0.001254, 0.000000, 0.000032, 0.000000, 0.000000
0.499682, 0.009752, 0.000001, 0.000245, 0.000000, 0.000000
0.599683, 0.031095, 0.000012, 0.000781, 0.000000, 0.000000
0.699456, 0.057146, 0.000041, 0.001436, 0.000000, 0.000000
0.799485, 0.095799, 0.000115, 0.002407, 0.000000, 0.000000
0.899445, 0.144438, 0.000262, 0.003629, 0.000000, 0.000000
0.999627, 0.203023, 0.000518, 0.005101, 0.000000, 0.000000
1.099489, 0.272490, 0.000933, 0.006847, 0.000000, 0.000000
1.199521, 0.359285, 0.001622, 0.009027, 0.000000, 0.000000
1.299447, 0.448808, 0.002531, 0.011277, 0.000000, 0.000000
1.399442, 0.537071, 0.003598, 0.012278, 0.000000, 0.000000
1.499483, 0.646515, 0.004901, 0.011532, 0.000000, 0.000000
1.599489, 0.736216, 0.005903, 0.010836, 0.000000, 0.000000
1.699497, 0.835556, 0.006938, 0.010001, 0.000000, 0.000000
1.799557, 0.944992, 0.007979, 0.009059, 0.000000, 0.000000
1.899444, 1.034665, 0.008759, 0.008332, 0.000000, 0.000000
1.999453, 1.134037, 0.009545, 0.007488, 0.000000, 0.000000
2.099598, 1.233594, 0.010246, 0.006638, 0.000000, 0.000000
2.199506, 1.333055, 0.010863, 0.005816, 0.000000, 0.000000
2.299444, 1.442464, 0.011451, 0.004966, 0.000000, 0.000000
2.399440, 1.532032, 0.011865, 0.004318, 0.000000, 0.000000
2.499439, 1.631512, 0.012257, 0.003590, 0.000000, 0.000000
2.599448, 1.731001, 0.012582, 0.002986, 0.000000, 0.000000
2.699439, 1.840448, 0.012873, 0.002405, 0.000000, 0.000000
2.799446, 1.930061, 0.013066, 0.001954, 0.000000, 0.000000
2.899443, 2.029499, 0.013234, 0.001483, 0.000000, 0.000000
2.999479, 2.138938, 0.013370, 0.001046, 0.000000, 0.000000
3.099117, 2.227233, 0.013444, 0.000676, 0.000000, 0.000000
3.199122, 2.327081, 0.013492, 0.000349, 0.000000, 0.000000
3.298917, 2.435917, 0.013515, 0.000093, 0.000000, 0.000000
3.398934, 2.535415, 0.013510, -0.000140, 0.000000, 0.000000
3.498914, 2.634903, 0.013488, -0.000281, 0.000000, 0.000000
3.598908, 2.734397, 0.013454, -0.000369, 0.000000, 0.000000
3.698055, 2.833027, 0.013410, -0.000490, 0.000000, 0.000000
3.798042, 2.932538, 0.013356, -0.000558, 0.000000, 0.000000
3.898043, 3.032028, 0.013297, -0.000605, 0.000000, 0.000000
3.998344, 3.131531, 0.013243, -0.000343, 0.000000, 0.000000
4.098040, 3.231020, 0.013228, 0.000053, 0.000000, 0.000000
4.198029, 3.330521, 0.013248, 0.000367, 0.000000, 0.000000
4.298037, 3.430017, 0.013295, 0.000577, 0.000000, 0.000000
4.398045, 3.529516, 0.013361, 0.000778, 0.000000, 0.000000
4.498051, 3.629007, 0.013443, 0.000895, 0.000000, 0.000000
4.598071, 3.728509, 0.013537, 0.001013, 0.000000, 0.000000
4.698076, 3.828012, 0.013642, 0.001110, 0.000000, 0.000000
4.798050, 3.927494, 0.013751, 0.001124, 0.000000, 0.000000
4.898052, 4.017065, 0.013846, 0.000921, 0.000000, 0.000000
4.998040, 4.114070, 0.013913, 0.000429, 0.000000, 0.000000
5.098300, 4.215933, 0.013923, -0.000250, 0.000000, 0.000000
5.198073, 4.295363, 0.013877, -0.000904, 0.000000, 0.000000
5.297157, 4.378940, 0.013769, -0.001713, 0.000000, 0.000000
5.397151, 4.466414, 0.013576, -0.002732, 0.000000, 0.000000
5.497152, 4.539709, 0.013337, -0.003809, 0.000000, 0.000000
5.597169, 4.604448, 0.013051, -0.005122, 0.000000, 0.000000
5.697159, 4.654198, 0.012763, -0.006532, 0.000000, 0.000000
5.797164, 4.703858, 0.012280, -0.013555, 0.000000, 0.000000
5.897148, 4.757891, 0.011308, -0.022531, 0.000000, 0.000000
5.997179, 4.807489, 0.009975, -0.031308, 0.000000, 0.000000
6.097182, 4.857226, 0.008185, -0.040793, 0.000000, 0.000000
6.197160, 4.906087, 0.005943, -0.051176, 0.000000, 0.000000
6.297185, 4.946804, 0.003647, -0.061970, 0.000000, 0.000000
6.397166, 4.977564, 0.001578, -0.072982, 0.000000, 0.000000
6.497163, 4.998385, -0.000052, -0.084245, 0.000000, 0.000000
6.597193, 5.009271, -0.001025, -0.095758, 0.000000, 0.000000
6.697161, 5.011333, -0.001229, -0.102780, 0.000000, 0.000000
6.797162, 5.011353, -0.001231, -0.082649, 0.000000, 0.000000
6.897169, 5.011420, -0.001234, -0.015780, 0.000000, 0.000000
6.997180, 5.011499, -0.001232, 0.062412, 0.000000, 0.000000
7.097359, 5.011577, -0.001225, 0.140563, 0.000000, 0.000000
7.197160, 5.011654, -0.001210, 0.218715, 0.000000, 0.000000
7.297553, 5.011731, -0.001190, 0.297485, 0.000000, 0.000000
7.397206, 5.011805, -0.001165, 0.375100, 0.000000, 0.000000
7.497243, 5.011876, -0.001133, 0.453189, 0.000000, 0.000000
7.597154, 5.011946, -0.001096, 0.531361, 0.000000, 0.000000
7.697159, 5.012012, -0.001053, 0.609512, 0.000000, 0.000000
7.797166, 5.012074, -0.001006, 0.687684, 0.000000, 0.000000
7.897173, 5.012133, -0.000954, 0.765856, 0.000000, 0.000000
7.997163, 5.012187, -0.000897, 0.844028, 0.000000, 0.000000
8.096968, 5.012237, -0.000837, 0.921292, 0.000000, 0.000000
8.197060, 5.012282, -0.000773, 0.999464, 0.000000, 0.000000
8.296971, 5.012322, -0.000705, 1.077615, 0.000000, 0.000000
